Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.922181849e-32,6.158082773e-34,6.789623963e-37,2.561051330e-37,0.000000000e+00,0.000000000e+00,1.546801657e-08,9.264073714e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.912192567e-32,6.330949122e-34,-3.765670778e-35,-2.547318887e-36,0.000000000e+00,0.000000000e+00,3.350241063e-08,9.616719949e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903443558e-32,6.187752414e-34,-3.950004918e-35,-4.580530174e-36,0.000000000e+00,0.000000000e+00,-4.307167255e-08,9.896579199e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.918352473e-32,6.492577870e-34,-1.292209250e-35,-6.302372163e-36,0.000000000e+00,0.000000000e+00,2.823015707e-08,1.019343475e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.899248694e-32,6.224738947e-34,-4.390060652e-35,-9.390916238e-36,0.000000000e+00,0.000000000e+00,-1.253713351e-08,1.046855019e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905430338e-32,6.141968185e-34,3.927524300e-35,-5.312375113e-36,0.000000000e+00,0.000000000e+00,-4.045390100e-09,1.076697169e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.916887517e-32,6.082829570e-34,2.766712296e-35,-3.303536034e-36,0.000000000e+00,0.000000000e+00,2.238322621e-08,1.109752666e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909591862e-32,5.866060585e-34,1.506619822e-35,4.167678170e-37,0.000000000e+00,0.000000000e+00,2.875456458e-09,1.139799768e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.923964722e-32,5.890510262e-34,-8.361698019e-35,1.309805363e-36,0.000000000e+00,0.000000000e+00,5.653223459e-10,1.173425225e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.897642158e-32,5.821960401e-34,9.099457497e-35,1.461813024e-35,0.000000000e+00,0.000000000e+00,-4.735485556e-09,1.203983067e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
