Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.902970595e-32,6.319968674e-34,-2.378594997e-36,-8.266906901e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.350000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904053232e-32,6.223205168e-34,-9.147068882e-37,-3.825358036e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.380000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905895273e-32,6.075946108e-34,1.374943025e-37,-5.098044586e-36,0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.410000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907768256e-32,5.931940725e-34,5.006429198e-37,-4.230126916e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.440000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908934115e-32,5.843826518e-34,2.481863457e-37,-1.630456139e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.470000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908934115e-32,5.843826518e-34,-2.481863457e-37,1.630456139e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.500000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907768256e-32,5.931940725e-34,-5.006429198e-37,4.230126916e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.530000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905895273e-32,6.075946108e-34,-1.374943025e-37,5.098044586e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.560000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904053232e-32,6.223205168e-34,9.147068882e-37,3.825358036e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.590000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902970595e-32,6.319968674e-34,2.378594997e-36,8.266906901e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.620000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903080378e-32,6.331114085e-34,3.727839929e-36,-2.807696708e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.650000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904349050e-32,6.253088092e-34,4.402920336e-36,-5.716129198e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.680000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906287376e-32,6.115287692e-34,4.051132617e-36,-6.777002812e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.710000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908139698e-32,5.969327710e-34,2.688861241e-36,-5.537222392e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.740000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909178551e-32,5.870074579e-34,7.144800429e-37,-2.396329224e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.770000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908990039e-32,5.855362164e-34,-1.238593189e-36,1.525846778e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.800000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907638387e-32,5.931831958e-34,-2.552004696e-36,4.793382345e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.830000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
