File,Frequency_THz,Scattering_W,Absorption_W,Extinction_W
cdm_input_0.csv,221.9063545150502,1.2846297601770677e-14,,
cdm_input_0.csv,222.74247491638792,1.2761684848018074e-14,,
cdm_input_0.csv,223.57859531772576,1.247230344355406e-14,,
cdm_input_0.csv,224.41471571906357,1.1992986605273115e-14,,
cdm_input_0.csv,225.25083612040135,1.1355257830980709e-14,,
cdm_input_0.csv,226.08695652173913,1.0601504973958489e-14,,
cdm_input_0.csv,226.92307692307693,9.777658710224182e-15,,
cdm_input_0.csv,227.7591973244147,8.926606938301117e-15,,
cdm_input_0.csv,228.5953177257525,8.083812203270733e-15,,
cdm_input_0.csv,229.4314381270903,7.2754707877308e-15,,
cdm_input_0.csv,230.26755852842808,6.518704850424941e-15,,
cdm_input_0.csv,231.10367892976586,5.822954493159944e-15,,
cdm_input_0.csv,231.93979933110367,5.191817518382173e-15,,
